Data,Vazões
13/12/2016,62.456
14/12/2016,63.549
15/12/2016,82.17299999999999
16/12/2016,104.24799999999999
17/12/2016,92.271
18/12/2016,82.788
19/12/2016,72.596
20/12/2016,68.006
21/12/2016,68.006
22/12/2016,78.52
23/12/2016,83.406
24/12/2016,60.832
25/12/2016,49.01600000000001
26/12/2016,44.233999999999995
27/12/2016,42.382
28/12/2016,40.565
29/12/2016,40.565
30/12/2016,47.077
31/12/2016,44.233999999999995
01/01/2017,38.784
02/01/2017,40.565
03/01/2017,40.565
04/01/2017,40.565
05/01/2017,44.233999999999995
06/01/2017,51.989
07/01/2017,51.989
08/01/2017,51.989
09/01/2017,43.303000000000004
10/01/2017,45.173
11/01/2017,48.042
12/01/2017,46.598
13/01/2017,60.294
14/01/2017,60.294
15/01/2017,96.191
16/01/2017,83.406
17/01/2017,100.184
18/01/2017,96.191
19/01/2017,102.885
20/01/2017,106.99700000000001
21/01/2017,110.478
22/01/2017,100.184
23/01/2017,96.191
24/01/2017,92.271
25/01/2017,85.272
26/01/2017,118.309
27/01/2017,297.558
28/01/2017,161.813
29/01/2017,90.98
30/01/2017,79.123
31/01/2017,76.126
01/02/2017,71.436
02/02/2017,65.76100000000001
03/02/2017,89.698
04/02/2017,102.885
05/02/2017,98.845
06/02/2017,82.17299999999999
07/02/2017,74.351
08/02/2017,77.318
09/02/2017,72.596
10/02/2017,65.76100000000001
11/02/2017,60.294
12/02/2017,56.074
13/02/2017,51.989
14/02/2017,49.01600000000001
15/02/2017,47.077
16/02/2017,45.646
17/02/2017,43.303000000000004
18/02/2017,46.12
19/02/2017,48.528
20/02/2017,46.12
21/02/2017,43.303000000000004
22/02/2017,40.565
23/02/2017,40.565
24/02/2017,48.528
25/02/2017,46.12
26/02/2017,96.191
27/02/2017,115.434
28/02/2017,115.434
01/03/2017,104.24799999999999
02/03/2017,93.57
03/03/2017,77.318
04/03/2017,71.436
05/03/2017,100.184
06/03/2017,89.698
07/03/2017,70.28399999999999
